Class,Order,Suborder,Infraorder,Superfamily,Family,Leave
Arachnida,,,,,,spider
Insecta,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,,leaf_beetle
Insecta,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,,ladybug
Insecta,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,,weevil
Insecta,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Anthicidae,ant_beetle
Insecta,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Oedemeridae,pollen_feeding_beetle
Insecta,Coleoptera,,,,,beetle
Insecta,Dermaptera,Forficulina,,Forficuloidea,,earwig
Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,,robber_fly
Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,,dance_fly
Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,,frit_fly 
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,,lauxaniid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Scathophagidae,dung_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,,mining_fly
Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,,fly_small
Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sciomyzidae,marsh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sepsidae,scavenger_fly
Insecta,Diptera,Brachycera,Muscomorpha,Sphaeroceroidea,,small_dung_fly
Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,hoverfly
Insecta,Diptera,Brachycera,Muscomorpha,Tephritoidea,Pallopteridae,true_fruit_fly
Insecta,Diptera,Brachycera,Stratiomyomorpha,Stratiomyoidea,,soldier_fly
Insecta,Diptera,Brachycera,Tabanomorpha,Rhagionoidea,,snipe_fly
Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,,horse_fly
Insecta,Diptera,Nematocera,Bibionomorpha,Anisopodoidea,Anisopodidae,anisopodid_gnat
Insecta,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,fever_fly
Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,,fungus_gnat
Insecta,Diptera,Nematocera,Culicomorpha,,,midge
Insecta,Diptera,Nematocera,Tipulomorpha,Tipuloidea,,crane_fly
Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Cicadoidea,,cicada
Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,,leafhopper
Insecta,Hemiptera,Heteroptera,Pentatomomorpha,,,bug
Insecta,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,bee
Insecta,Hymenoptera,Apocrita,Aculeata,Apoidea,Sphecidae,digger_wasp
Insecta,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,ant
Insecta,Hymenoptera,Apocrita,Aculeata,Pompiloidea,Pompilidae,spider_wasp
Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,wasp
Insecta,Hymenoptera,Apocrita,Parasitica,,,parasitoid_wasp
Insecta,Hymenoptera,Symphyta,,Tenthredinoidea,Tenthredinidae,saw_fly
Insecta,Lepidoptera,Glossata,Heterocera,,,moth
Insecta,Lepidoptera,Glossata,Rhopalocera,,,butterfly
Insecta,Mecoptera,,,,,scorpion_fly
Insecta,Neuroptera,Hemerobiiformia,,,,lacewing
Insecta,Orthoptera,,,,,grasshopper
Insecta,Trichoptera,,,,,caddisfly
